text_id,card_id,chara_name,text,type,type_note
1,1,暁 宗谷,やる気がみなぎってるぜ！ なあ、出かけようぜ！:今日はどうするんだ?よし、細かい事はお前に任せた！,1,挨拶
2,1,暁 宗谷,安心して浄化しろ！ しっかり守っててやっからよっ！:ガンガン浄化してやろうぜ！大丈夫、俺がついてるからな！,2,浄化時
3,1,暁 宗谷,ここには俺よりガキのヤツもいるだろ？あいつらを守ってやらなきゃな%pちょっとぐれえ喧嘩が強いとかそんなんじゃない。誰にも負けない、みんなを守れる強さがなきゃダメなんだ%p死んだ母さんに約束したんだ。俺より弱いやつのために、身体を張れる男になる！ってさ%pへへっ！湿っぽい話してごめんな。でもお前には聞いといてほしくてよ！%pこれからも、一緒に頑張ろうぜ。俺はもっと強くなってみせるぜ！,4,親愛度max
4,1,暁 宗谷,敵か…！みんな、俺にまかせてくれよ！:変身してないからって逃げるわけにはいかないんだ！,6,バトル
5,1,暁 宗谷,,7,強化ベース
6,1,暁 宗谷,,8,強化素材
7,1,暁 宗谷,嬉しいんだ。みんなのために、俺にもできる事がある！…へへ、もっと強くなんなきゃな！,3,親愛度up
8,1,暁 宗谷,…そうだ！強くなるんだ！本当に強い男に…母さん見ててくれよ！うおぉぉッ……！変身！,5,変身
9,2,柘 勇作,,7,強化ベース
10,2,柘 勇作,はいよ、それじゃボチボチいきますか:変身ヒーローなあ。嫌いじゃなかったけどな。俺は西部劇派だなぁ:異世界なあ、尾行相手が突然消えたりすると困るなあ…,1,挨拶
11,2,柘 勇作,,8,強化素材
12,2,柘 勇作,ヤニ吸いてえなあ…:石の力ね。こういうもんがあれば俺もやる気でんのかね?:安全確保ー進んでよーし,2,浄化時
