sort_id,kizuna_id,card_id_1,name_1,card_id_2,name_2,condition_1,condition_2,kizuna_title,scenario_id,scenario_sub_id,text,text_data
1,10002,35,弓月 玲那,32,水陰 那月,,,ダブルムーントランス,30,1,"玲那「ムム？新しきジュエルセイバーってやつのご登場ね？」
那月「わぁ！び、びっくりした。こ、こんにちは」
玲那「ねえねえ！あなた誰？何者？何ができるの？火吹いたりワープしたりする？」
那月「そんな事しませんしできません！」
玲那「えー？じゃあ何ができるのかしら？」
那月「えっ？…いや、その…えと、僕は…」
玲那「僕！？アレだ！【僕っ娘】ってヤツだ！」
那月「違いますよ！僕は男です！」
玲那「男の子だったの…！？なるほど君は可愛いことが特技か！ふーん、なんか私の服とかも着れちゃいそうね」
那月「………そ、そうですか」
玲那「じゃあ可愛いセイバー君！ヨロシクね！えーと、私は玲那。弓月玲那よ！」
那月「あ、水陰、水陰那月です。よろしくです」
玲那「名前まで女の子っぽいわねー」",玲那「ムム？新しきジュエルセイバーってやつのご登場ね？」\n那月「わぁ！び、びっくりした。こ、こんにちは」\n玲那「ねえねえ！あなた誰？何者？何ができるの？火吹いたりワープしたりする？」\n那月「そんな事しませんしできません！」\n玲那「えー？じゃあ何ができるのかしら？」\n那月「えっ？…いや、その…えと、僕は…」\n玲那「僕！？アレだ！【僕っ娘】ってヤツだ！」\n那月「違いますよ！僕は男です！」\n玲那「男の子だったの…！？なるほど君は可愛いことが特技か！ふーん、なんか私の服とかも着れちゃいそうね」\n那月「………そ、そうですか」\n玲那「じゃあ可愛いセイバー君！ヨロシクね！えーと、私は玲那。弓月玲那よ！」\n那月「あ、水陰、水陰那月です。よろしくです」\n玲那「名前まで女の子っぽいわねー」
2,73,35,弓月 玲那,136,水陰 那月+,10002,,ダブルムーントランス,30,2,"玲那「…（じー）」
那月「あ、あの…」
玲那「…（じー）」
那月「そ、その…」
玲那「…（じー）」
那月「な、なにか用でしょうか…？」
玲那「…そう、あなた…変態だったのね！！！」
那月「ひ、ひどい！面と向かって！」
玲那「ひどい？何が？だってあなた変態でしょう？」
那月「ぼ、僕だって好きでこんな格好をしてるわけじゃ！」
玲那「好きじゃない！？好きじゃないの？そんなに可愛いのに、あなた、好きじゃないの！？」
那月「う、うう！？」
玲那「ごめんなさい。なら訂正するわ。好きじゃないのよねそんな格好。ほんとは嫌で嫌でたまらないのよね？」
那月「ううう…ごめんなさい…嫌いじゃないです…」
玲那「ほらね！あなたもっと誇りなさいよ！私、尊敬してるんだからね！」
那月「はい、はい。ご、ごめんなさい…」",玲那「…（じー）」\n那月「あ、あの…」\n玲那「…（じー）」\n那月「そ、その…」\n玲那「…（じー）」\n那月「な、なにか用でしょうか…？」\n玲那「…そう、あなた…変態だったのね！！！」\n那月「ひ、ひどい！面と向かって！」\n玲那「ひどい？何が？だってあなた変態でしょう？」\n那月「ぼ、僕だって好きでこんな格好をしてるわけじゃ！」\n玲那「好きじゃない！？好きじゃないの？そんなに可愛いのに、あなた、好きじゃないの！？」\n那月「う、うう！？」\n玲那「ごめんなさい。なら訂正するわ。好きじゃないのよねそんな格好。ほんとは嫌で嫌でたまらないのよね？」\n那月「ううう…ごめんなさい…嫌いじゃないです…」\n玲那「ほらね！あなたもっと誇りなさいよ！私、尊敬してるんだからね！」\n那月「はい、はい。ご、ごめんなさい…」
3,74,139,弓月 玲那+,136,水陰 那月+,73,,ダブルムーントランス,30,3,"玲那「はぁ…ダメだわ。最初はアリだと思ったけど全然ダメだわ！」
那月「ど、どうしたの？弓月さん」
玲那「私の変身姿よ！あなたに比べたら、なんか全然普通だわ！」
那月「そうかな…（僕は可愛いと思うけど…）それに、普通の方が、良いよ…」
玲那「良い訳ないでしょー！？じゃああなた良いの？その普通じゃなく可愛い顔が普通になっても！？」
那月「えええ」
玲那「そんじょそこらに転がってる芋煮みたいな顔になっても！良いのね！？煮っころがしで！良いのね！？」
那月「い、いも？い、いや、その。このまま、このままが良いです！ごめんなさいごめんなさい」
玲那「そうよね。良かったわあなたが自分の価値に気づけて」
玲那「じゃあ、【僕は可愛い】ほら、言って？」
那月「え？え？」
玲那「復唱。【僕は可愛い】ほら、早く」
那月「うううう、ううう！？」
玲那「う、はもう良いから、ほら、【僕は可愛い】！ほら！」
那月「誰か助けて…！」",玲那「はぁ…ダメだわ。最初はアリだと思ったけど全然ダメだわ！」\n那月「ど、どうしたの？弓月さん」\n玲那「私の変身姿よ！あなたに比べたら、なんか全然普通だわ！」\n那月「そうかな…（僕は可愛いと思うけど…）それに、普通の方が、良いよ…」\n玲那「良い訳ないでしょー！？じゃああなた良いの？その普通じゃなく可愛い顔が普通になっても！？」\n那月「えええ」\n玲那「そんじょそこらに転がってる芋煮みたいな顔になっても！良いのね！？煮っころがしで！良いのね！？」\n那月「い、いも？い、いや、その。このまま、このままが良いです！ごめんなさいごめんなさい」\n玲那「そうよね。良かったわあなたが自分の価値に気づけて」\n玲那「じゃあ、【僕は可愛い】ほら、言って？」\n那月「え？え？」\n玲那「復唱。【僕は可愛い】ほら、早く」\n那月「うううう、ううう！？」\n玲那「う、はもう良いから、ほら、【僕は可愛い】！ほら！」\n那月「誰か助けて…！」
4,75,35,弓月 玲那,32,水陰 那月,74,,ダブルムーントランス,30,4,"玲那「あ、那月君だ。あ、普通の格好してる！」
那月「弓月さん…僕だって普通の格好ぐらいするよ。何時も女装してるってわけじゃ…」
玲那「フーン。でも、あなたやっぱりそっちの格好でもとっても可愛いわねー」
那月「え…！あ、う、あ、ああ、ありがとう…じゃなくてえっと」
那月「（弓月さんも可愛いよって言うんだ。弓月さんも可愛いよって言うんだ。言え！言うんだ！僕！）」
那月「ゆ、ゆずきさぁんも！お、おお…もう…いない…」",玲那「あ、那月君だ。あ、普通の格好してる！」\n那月「弓月さん…僕だって普通の格好ぐらいするよ。何時も女装してるってわけじゃ…」\n玲那「フーン。でも、あなたやっぱりそっちの格好でもとっても可愛いわねー」\n那月「え…！あ、う、あ、ああ、ありがとう…じゃなくてえっと」\n那月「（弓月さんも可愛いよって言うんだ。弓月さんも可愛いよって言うんだ。言え！言うんだ！僕！）」\n那月「ゆ、ゆずきさぁんも！お、おお…もう…いない…」
5,10001,3,鳥谷 茜,10,花織 雫,,,へんなともだち,4,1,"雫「じょ、じょ、浄化だ、上等だ〜♪」
茜「な、なに？この素っ頓狂な歌は…？あっ、雫ちゃん！？なんでここに！？」
雫「あ、茜ちゃん！やっほー！」
茜「いやいやヤッホーじゃなくて」
雫「雫もジュエルセイバー、はじめました！」
茜「冷やし中華じゃないんだよ！雫ちゃん！」
雫「…！？それだ！冷やし中華を食べに行こう！」
茜「ちょ、ちょっと、どこいくの！こんな、ところに、中華料理屋は、ないよー！雫ちゃーーーん！」
茜「…………呆気にとられてる場合じゃない！こんなところで一人にさせられないよ！待ちなさーい！」",雫「じょ、じょ、浄化だ、上等だ〜♪」\n茜「な、なに？この素っ頓狂な歌は…？あっ、雫ちゃん！？なんでここに！？」\n雫「あ、茜ちゃん！やっほー！」\n茜「いやいやヤッホーじゃなくて」\n雫「雫もジュエルセイバー、はじめました！」\n茜「冷やし中華じゃないんだよ！雫ちゃん！」\n雫「…！？それだ！冷やし中華を食べに行こう！」\n茜「ちょ、ちょっと、どこいくの！こんな、ところに、中華料理屋は、ないよー！雫ちゃーーーん！」\n茜「…………呆気にとられてる場合じゃない！こんなところで一人にさせられないよ！待ちなさーい！」
6,10,3,鳥谷 茜,10,花織 雫,10001,,へんなともだち,4,2,"茜「雫ちゃん！」
雫「うわあ」
茜「もう！聞いて！ここはあなたみたいな子供には危険なところなんだよ！？」
雫「うーん？でも茜ちゃんだって子供じゃない？」
茜「ム」
雫「そしてわたしのことは、茜ちゃんが守ってくれるんじゃない？」
茜「ムム？」
雫「でもそしたら茜ちゃんは、わたしが守らなきゃでしょ？」
茜「し、雫ちゃん…！」
雫「茜ちゃん…ッ！（ﾁｮﾛｲ！）」",茜「雫ちゃん！」\n雫「うわあ」\n茜「もう！聞いて！ここはあなたみたいな子供には危険なところなんだよ！？」\n雫「うーん？でも茜ちゃんだって子供じゃない？」\n茜「ム」\n雫「そしてわたしのことは、茜ちゃんが守ってくれるんじゃない？」\n茜「ムム？」\n雫「でもそしたら茜ちゃんは、わたしが守らなきゃでしょ？」\n茜「し、雫ちゃん…！」\n雫「茜ちゃん…ッ！（ﾁｮﾛｲ！）」
7,135,114,花織 雫+,107,鳥谷 茜+,10,,へんなともだち,4,3,"雫「じょ、じょ、浄化だ、上等だ〜♪」
茜「雫ちゃんはいつも変な歌を歌うよね…」
雫「変な歌とは心外！茜ちゃんドリフターズ知らないの！？」
茜「え」
雫「茜ちゃんは八時なのに全員集合しないの？信じられない！この非国民！」
茜「ちょっと！危険なフレーズやめてください！というか知らないよ！」
雫「あーがっかり。とてもがっかり。雫、失望しました。だっふんだも言えないような人だなんて思わなかった！バイバイ！」
茜「…………」
茜「そもそも音痴過ぎて知ってるとか以前の問題よね…」",雫「じょ、じょ、浄化だ、上等だ〜♪」\n茜「雫ちゃんはいつも変な歌を歌うよね…」\n雫「変な歌とは心外！茜ちゃんドリフターズ知らないの！？」\n茜「え」\n雫「茜ちゃんは八時なのに全員集合しないの？信じられない！この非国民！」\n茜「ちょっと！危険なフレーズやめてください！というか知らないよ！」\n雫「あーがっかり。とてもがっかり。雫、失望しました。だっふんだも言えないような人だなんて思わなかった！バイバイ！」\n茜「…………」\n茜「そもそも音痴過ぎて知ってるとか以前の問題よね…」
8,10003,53,藍馬 清秋,75,藍馬 蘭,,,藍色の兄妹,40,1,"清秋「っ蘭！？おまえ、どうしてこんなところに！？」
蘭「お兄さま…？ああ、やっぱり。お兄さまも居たのね。お母様の言う通りだったわ」
清秋「お母様？形見の石の事か？お前も石の力を…？身体は！？平気か？」
蘭「平気よお兄さま。ここでなら咳も出ないし歩く事もできる。お母様が力を貸してくれているのね」
清秋「…！そうか、石の力か…」
蘭「ここでなら私がお兄様を助ける事もできる。だから、私も一緒に行くわ」
清秋「だめだ蘭！こんな危険なところで…」
蘭「病院に戻れと？嫌よ。あそこで何もできないまま終わるなんて、私は嫌。お兄さま、お願い…」
清秋「蘭…くそっ、どちらにせよ戻る手段も分からんか…。俺から離れるなよ、蘭」
蘭「お兄さま…！」",清秋「っ蘭！？おまえ、どうしてこんなところに！？」\n蘭「お兄さま…？ああ、やっぱり。お兄さまも居たのね。お母様の言う通りだったわ」\n清秋「お母様？形見の石の事か？お前も石の力を…？身体は！？平気か？」\n蘭「平気よお兄さま。ここでなら咳も出ないし歩く事もできる。お母様が力を貸してくれているのね」\n清秋「…！そうか、石の力か…」\n蘭「ここでなら私がお兄様を助ける事もできる。だから、私も一緒に行くわ」\n清秋「だめだ蘭！こんな危険なところで…」\n蘭「病院に戻れと？嫌よ。あそこで何もできないまま終わるなんて、私は嫌。お兄さま、お願い…」\n清秋「蘭…くそっ、どちらにせよ戻る手段も分からんか…。俺から離れるなよ、蘭」\n蘭「お兄さま…！」
9,2,53,藍馬 清秋,179,藍馬 蘭+,10003,,藍色の兄妹,40,2,"清秋「蘭。身体の具合はどうだ？」
蘭「お兄さまは本当に心配性ね」
清秋「しかし蘭…」
蘭「平気よ。お母様をこうして抱いている限り、私は強く在れる。重力ですら私を縛れないわ」
清秋「…そうか、いや、そうだな。お前が空を舞うなんて…まるで夢のようだな」
蘭「そうね。あちらに戻れば身体も元通りだもの。ここでの事は本当に夢みたいなものね」
清秋「…」
蘭「違うのお兄さま。私、嬉しいのよ。夢でも現実でもお兄さまと共に戦える今が、私は嬉しいわ」
清秋「そうだな、蘭…」
清秋「…だが俺は、それを夢で終わらせるつもりは無いさ…」",清秋「蘭。身体の具合はどうだ？」\n蘭「お兄さまは本当に心配性ね」\n清秋「しかし蘭…」\n蘭「平気よ。お母様をこうして抱いている限り、私は強く在れる。重力ですら私を縛れないわ」\n清秋「…そうか、いや、そうだな。お前が空を舞うなんて…まるで夢のようだな」\n蘭「そうね。あちらに戻れば身体も元通りだもの。ここでの事は本当に夢みたいなものね」\n清秋「…」\n蘭「違うのお兄さま。私、嬉しいのよ。夢でも現実でもお兄さまと共に戦える今が、私は嬉しいわ」\n清秋「そうだな、蘭…」\n清秋「…だが俺は、それを夢で終わらせるつもりは無いさ…」
10,254,1,暁 宗谷,52,蒼井 悠斗,,,悪友相見える,1,1,"宗谷「悠斗！お前も居たか！」
悠斗「うっ、暁、やっぱり居たのか…」
宗谷「そりゃ居るさ。前にも言ったろ？魔法も不思議もあったんだ！ってよ」
悠斗「あー、そんな事も言ってたよな。てか今更どうでも…」
宗谷「おー？負け惜しみか？お前言ってたもんなぁ。漫画と現実の区別ぐらいしろ単細胞（キリッ）なんつってよー」
悠斗「あーうるせえなあ！言った言った。言いましたよ。それどころの気分じゃないよ俺は…」
宗谷「ははは。俺の勝ちィー」
悠斗「お前の単細胞が羨ましいよホント…」",宗谷「悠斗！お前も居たか！」\n悠斗「うっ、暁、やっぱり居たのか…」\n宗谷「そりゃ居るさ。前にも言ったろ？魔法も不思議もあったんだ！ってよ」\n悠斗「あー、そんな事も言ってたよな。てか今更どうでも…」\n宗谷「おー？負け惜しみか？お前言ってたもんなぁ。漫画と現実の区別ぐらいしろ単細胞（キリッ）なんつってよー」\n悠斗「あーうるせえなあ！言った言った。言いましたよ。それどころの気分じゃないよ俺は…」\n宗谷「ははは。俺の勝ちィー」\n悠斗「お前の単細胞が羨ましいよホント…」
