main_id,title,message1,orb_comment1,message2,orb_comment2,boss_name,boss_message,message3,orb_comment3
0,融ける校舎,導かれるまま進んだ先には見覚えのある光景が開がっていた。県立星辰学園高等学校。通常であれば学徒で賑わう筈の校舎は、人の気配すらしない融けたモニュメントと化していた,異界はマスター達が住まう世界と表裏一体。汚染が進めばあちらの世界にも影響が出るかもしれません。さあ浄化を急ぎましょう,"キィイイイイィイイイア

紫色の石を頂いた蜘蛛のような体躯の化物が現れた。
殺意を秘めた光が一行を照らしだす…！",人の欲望を吸い尽った星宝石の化生。【星喰い】です。さあマスター。ジュエルセイバーに抜刀を命じてください,パープルヘッド,キィイイイイィイイイア,セイバーの一撃に異形の物、星喰いが崩れ落ちる。鋼鉄のような四肢は光の粒子となって溶け、後には小さな宝石だけが残った…,お見事です。【星喰い】を滅しました。これで石も浄化されるでしょう
1,沈む繁華街,学園を一歩抜けると、辺りは突然に繁華街の光景へと変化した。人の姿はなく、シャッターの降りた建物は泥の様な大地に沈んでいる…,この場所も現実世界と表裏一体です。歪みが及ばぬ内に浄化を急ぎましょう,オウオウオウ！オメェ達も石を狙ってんのか！この石は渡さねえぞ！俺は！俺はこの力で、やり直すんだ！,石に魅入られたセイバー…守護石が黒く淀んでいる…。人に取り憑いた星宝石から生まれる【星喰い】は極めて強力です。彼の全てが取り込まれる前に、石を浄化しましょう。,赤松 重吾,おれは、俺はこの石でやり直すんだ！邪魔させねえ！！！,あ、ああ…力がぁ…力が抜けて……あ？お、俺っちは、一体なにを…？,変身が解けましたね。しかし彼はセイバーの素質を持つものです。彼を仲間に引き入れてみては？
2,眩く廃街,影の深い路地を進むと眩くネオン街が見えてきた。しかし煌めくと光とは裏腹に、全ての建物は崩落し火に爛れ、その機能を有していない,怪しい気配を感じます。お気をつけ下さい、どこかに【星喰い】が潜んでいるかもしれません。,"キィィィィイイイン…キィィィィイイイン

耳障りな金属音を鳴らし、巨大な蜘蛛のような星喰いがそびえ立っている。アメジストが警戒色に輝き、瞳無き目がジュエルマスター達を捉えた",また星喰いの幼生ですね…。ですがお気をつけ下さい。より強い欲望を吸って、形態が変化しているようです。,トライポッドパーピュア,キィィィィイイイン…！キィィィィイイイン…！,蜘蛛の脚は圧し折れ、光を失ったアメジストが砂のように崩れていく。死骸は瘴気となり霧散し、後には一握りの宝石だけが残るのみだった。,お見事です。しかし、星喰いが進化しはじめているのは問題ですね…。これからの闘いは更に苛烈なものとなるでしょう
3,堕落した教会,廃街の奥には美しい教会があった。だがその内部は現実世界の堕落を反映したように、暗く淀んでいる。決して賛美歌の響くことのない、異世界の教会,この場所の汚染が進めば、現実世界で大きな悲劇が生み出されるかもしれません。マスター、浄化を急いでください,あなたたち、誰…？イヤ、近寄らないで…！アンバー！！！お願い、あの人達を…ズタズタにしちゃって！,あの少女も石に魅入られていますね。マスターの力を経ず無理に行った変身は彼女の身体と魂を蝕んでいます。あの少女を救うためにも、彼女の石を浄化しましょう。,,アンバー！あの人達を、ズタズタにしちゃって！,あ、う…あ…。…ここ、どこ？あなたたちは、誰…？,石の力に酔っていた事は覚えていないようですね。彼女もまたセイバーの素質を持つものです。マスターの庇護の元に加えることを推奨致します
4,爛れたドーム,教会を抜けると眼前に焼け爛れたドームが現れた。鉄骨は剥き出しになり傷跡は生々しく、未だに燻った火が残っている。炎が邪悪な気配に揺らめいた,人間の憎しみというのは時に悲惨な結果を生むものです。浄化を続ければ、そのような悲劇を未然に防ぐことも出来るかもしれません,"オオオオォォォォォオォォォォォォォォ…！

地下神殿の奥が紫色の光に包まれている。数多の欲望を吸った星喰いは今や光輪を頂き、裁きを下すもののようにジュエルマスター達の前に立ち塞がった",多くの欲望を吸い取ったのでしょう…最早、幼生とは言えませんね。油断は禁物です,ニムバスタワー,オオオオォォォォォオォォォォォォォォ…！,断末魔の叫び声が異世界に響き渡る。息絶えた星喰いは崩れ落ち、土へと還っていった,お見事です。かなり戦いにも慣れてきたのではありませんか？しかし、次の敵襲にそなえ、万全の準備を整えてください。
5,捻れた電波塔,ドームの階段を昇り続け扉を開くと、そこは捻れた電波塔の頂上だった。前方には空が、後方には地上が見える。ここでは重力までが捻れているようだ,お気をつけ下さい。足を滑らせれば地平線の彼方まで落ち続ける事になりますよ,やーやー、君たちがジュエルマスターと、そのご一行？いやあ、待ってたよー。歓迎がてらってわけじゃないけども、まずは戦おうか！ハハハハ！,…自らの意志でマスターに挑んでいる…？マスター、お気をつけ下さい。意志を持つ者は石に魅入られ己を失った者達よりも遥かに強力です,狭間 真字女,Ｗｏｗ多勢に無勢？ちょっとは真面目に闘いますかー,いやー参った！ハハハ！変身も解けたか。石が黒くなっちゃってさあ、焦ってたんだよね〜！お礼といってはなんだけど、この狭間真字女さんが君たちを手助けしてあげよう！,奇妙な男ですが、侵食されながらも意志を保った精神力…その力は侮れぬものがあります。彼の処遇はマスター、あなたが決めてください
6,陰るビル群,捻れた重力から解放されて地上に降り立つ。そこは生命を感じないオフィス街だった。月光に照らされた高層ビルが、水平線まで墓標のように立ち並ぶ…,このビル群のどこかに、この地を支配する石がある筈です。さあ、石の気配を辿って行きましょう,"ブォォォオオオォォオォ！！！

大気を振動させる獣の嘶きが鳴り響く。現れた星喰いは馬の形をしていたが、その体躯は尋常の大きさではない。大きな角が赤く光り、口から炎が吹き上がった",石は人の欲望を写し星の記憶を得る…あの星喰いはこの星の生命を模したのですね。しかしセイバーを擁するマスターの敵ではない筈です,フレイムファクス,ブォォオオォオォオォォオ！！！,鈍い音が響いた。赤石の大角はへし折れ黒い瘴気が吹き上がる。星喰いは一度呻くように立ち上がるとビルの陰へと逃げ去って行った…,速い…この開けた地ではとても追えるものではありません。それに、あの者は必ず我々を追ってきます。ここは先に進みましょう
7,逆巻く時計塔,うっすらと見えてきたものは、時計塔だった。歪んだ時計盤を眺めていると突然針がグルリと廻り、一行をあざ笑うように鐘が鳴った,塔の頂上付近にある鐘が見えますか？そこから強い石の気配を感じます。臆することはありません。さあ、進みましょう,"ヒィィィーーーンン！！！

巨大な星宝石の浄化が終わろうとしたその時、地上から絶叫が聞こえた。黒い影が塔の外壁を駆け昇っていく。赤い残光を煌めかせ、星喰いがセイバー立ちの前に踊り出た",我々を追ってきたのですね…手を止めれば石は再び力を取り戻してしまいます。浄化を続けましょう。今はセイバー達を信じる時です,ブラッドファクス,ヒィィィーーーンン！！！,セイバーの彗星のような一撃が星喰いを捉えた。もんどり打った星食いは足場を崩し地上へと落ちていく。轟音が鳴り響き、次に静寂が訪れた,あなたのセイバーは見事役目を果たしましたね。しかし、コアを破壊していない以上あの者は再び現れるでしょう。雌雄を決するのは次の機会となりそうです
8,堕ちる地下鉄道,無人の地下鉄駅に動く車両の影はない。だが時折軋むような金属音だけが鳴り響いている。線路は更なる地下へと潜り、一寸先すら見えぬ闇へと深まっていく,石の息遣いが聞こえます。この闇を降りていきましょう。臆する事はありません。マスターには光の導きがあるのですから,"フゥウ…フゥウ…フゥウ

粗い息遣いが聞こえ、闇の中に燐光が揺らめいた。赤石を装甲の様に身に纏い、闘うため、雌雄を決するために進化した星喰い。笑うように歪んだ口から炎が吹きがった",来ましたね。彼の者は力を得たようですが、それはセイバー達とて同じ事です。決着を付ける時は、今です,ギルティファクス,グォオオオオォオッォオォオオオーーーー！！！,大角がへし折れ装甲が弾け飛ぶ。剥き出しの赤石が砕けた時、星喰いの動きがピタリと止んだ。瞬間、巨大な身体は砂のように崩れていった,強力な星喰いも、今のマスター達にとっては何の障害でもありませんでしたね。さあ、次のステージに進みましょう
9,脈動する地下神殿,闇が払われ、濡れた床に巨大な柱が立ち並ぶ広大な空間が現れた。都市の治水を担う【地下神殿】しかしここにも邪悪な気配は存在していた,水流は想いを洗い流すと言います。ここはその想いが積もる場所。水底に潜むものに囚われぬよう、気をつけてお進み下さい,"グボォ…ゴボォォゴォ

重い水が沸騰するような音と共に現れたのは、正にへどろの如き星喰いだった。泥のような巨体を引きずりこちらへと這いずり寄ってくる…",今までとは違うタイプの星喰いのようですね。しかし、臆することはありません。マスター、討伐をお願いします,暴食の星喰い,グボォ…ゴボォォゴォ,グロテスクな巨体がぶくぶくと泡立ち、飛び散りながら消えてゆく。あとに残されたのは、小さな水色の石屑だった,星喰いは取り入れた情報から己の形態を定義します。あの姿は水に溶け込んでいた、数多の人間の欲望を食した結果でしょう
